file,line_count,sha16,first_line,last_line,wf_mstr_hits,glt_det_hits,insert_log_hits,messagebox_hits,todo_hits
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockFinishGoods.designer.vb,367,1189c5b14a13b9ac,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockFinishGoods.resx,126,e99f9da1e93d2bb9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockFinishGoods.vb,539,c980ffba3031d225,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,6,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItem.designer.vb,526,26fe9df78d6bf0f0,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItem.resx,126,f556f382999c1bee,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItem.vb,402,23aeda37e0c2b916,﻿Imports Devart.Data.PostgreSql,,0,0,0,9,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItemGroup.designer.vb,126,bca4f0c28c4e6a87,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItemGroup.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItemGroup.vb,6,54c28793ecbeb277,﻿Public Class FValidityStockItemGroup,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItemImport.designer.vb,207,299dcbcae3485c39,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItemImport.resx,129,86b0d583c00fc960,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockItemImport.vb,224,0f8a208ff7bdefd1,﻿Imports Devart.Data.PostgreSql,,0,0,0,7,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockLocation.designer.vb,401,758751961b503eb9,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockLocation.resx,126,f556f382999c1bee,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockLocation.vb,331,66dd2838026208de,﻿Imports Devart.Data.PostgreSql,,0,0,0,8,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockRawMaterial.designer.vb,366,d6015d2e88c5d924,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockRawMaterial.resx,126,e99f9da1e93d2bb9,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Distribution/Validity Stock/FValidityStockRawMaterial.vb,538,0cb817a3a4001981,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,5,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FAPInvoiceReportTax.Designer.vb,294,7d19744a4dba5ef6,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FAPInvoiceReportTax.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FAPInvoiceReportTax.vb,389,6efa14973bc431bd,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FAPInvoiceReportTaxOutstanding.designer.vb,200,8226113321ba8240,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FAPInvoiceReportTaxOutstanding.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FAPInvoiceReportTaxOutstanding.vb,426,555cf6d30b50b793,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FVoucherTax.designer.vb,1807,3bbb7985cfa7dd51,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FVoucherTax.resx,129,540fbe4ed97e4111,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/FVoucherTax.vb,3552,682ced4717278f32,﻿Imports Devart.Data.PostgreSql,End Class,0,12,4,43,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/XRAPInvoice.designer.vb,1340,5101493837c19d7e,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/XRAPInvoice.resx,842,2f63c942d84e4cf6,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/XRAPInvoice.vb,125,917d3799006ebd51,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/XRAPInvoiceNoPO.designer.vb,1230,e8265be23709946a,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/XRAPInvoiceNoPO.resx,815,3de2e0e195d0a5b0,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AP Invoice/XRAPInvoiceNoPO.vb,114,e38c9f02f71859fd,Imports DevExpress.XtraPrinting,End Class,0,0,1,4,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARNota.designer.vb,911,0458f585c49a73e8,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARNota.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARNota.vb,1072,619b773df77415a8,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,21,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARReportTax.designer.vb,581,b6ecfb7bde21deba,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARReportTax.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARReportTax.vb,983,648a63339c936a0b,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,5,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARReportTaxOutstanding.designer.vb,182,0aeccfb83beefb89,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARReportTaxOutstanding.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FARReportTaxOutstanding.vb,640,2ced4706fe373b26,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,2,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FDRCRMemoTax.designer.vb,2069,39b7690fa189154d,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FDRCRMemoTax.resx,129,f4a1f5efea31259f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FDRCRMemoTax.vb,4438,4cf593c275600690,﻿Imports Devart.Data.PostgreSql,End Class,0,12,5,53,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FListAR.designer.vb,805,07768f4f27e660b6,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FListAR.resx,132,aeae8f625b6a89ed,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/FListAR.vb,614,1c20e6ac6ceba73f,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,13,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRInvoiceNew.designer.vb,1581,b89824bb9733fadd,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRInvoiceNew.resx,765,5829da7fad87337d,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRInvoiceNew.vb,189,7fa658bce98bb728,Imports DevExpress.XtraPrinting,End Class,0,0,1,5,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRKwitansiNotaTagih.designer.vb,929,28e6d6601c483432,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRKwitansiNotaTagih.resx,585,a510e584e54ff328,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRKwitansiNotaTagih.vb,64,a2587b846d83a796,Imports master_new.PGSqlConn,End Class,0,0,0,2,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRNotaTagih.designer.vb,1078,c64304233030e794,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRNotaTagih.resx,633,4ec954b9d0d05860,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/XRNotaTagih.vb,52,64fafe592ffcf716,Imports DevExpress.XtraPrinting,End Class,0,0,0,2,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/ds_ar_nota.Designer.vb,2901,33f8f7343a4cdad4,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/ds_invoice.designer.vb,3789,bac573bc3c1a3c5a,﻿'------------------------------------------------------------------------------,End Namespace,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/AR Invoice/ds_invoice.vb,2,441dae5c376984d5,﻿Partial Class ds_invoice,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FCOGSGenerateNew.designer.vb,465,9932bbfdd5dfbfa9,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FCOGSGenerateNew.resx,129,1b4e84721299c608,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FCOGSGenerateNew.vb,1160,d4edcc6bc0cadf15,﻿Imports Devart.Data.PostgreSql,End Class,0,0,2,19,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FComparisonCostReport.designer.vb,145,5f7bc6912425202c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FComparisonCostReport.resx,129,17588638b0c8d14c,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FComparisonCostReport.vb,80,a3a6ce66d0e5111f,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FFGFromPurchaseReport.Designer.vb,211,88024a5778d17d57,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FFGFromPurchaseReport.resx,129,1b4e84721299c608,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FFGFromPurchaseReport.vb,177,c642ccf1367642e8,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostDelivery.designer.vb,437,952b1968a20e4302,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostDelivery.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostDelivery.vb,368,4276c246df6ddaa0,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,8,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostDeliveryImport.designer.vb,138,1f2a9b4b36fb6475,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostDeliveryImport.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostDeliveryImport.vb,160,925ad97bea628622,﻿Imports master_new.PGSqlConn,End Class,0,0,0,5,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostOtherImport.designer.vb,138,7a1da511826eb991,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostOtherImport.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostOtherImport.vb,149,b033abf437109a2a,﻿Imports master_new.PGSqlConn,End Class,0,0,0,3,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostPackaging.Designer.vb,541,5fb944a209c2d935,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostPackaging.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostPackaging.vb,449,60e40286fa9cfe36,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,9,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostPackagingImport.designer.vb,138,eff8ebf1fa859d73,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostPackagingImport.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FItemCostPackagingImport.vb,180,b9c793909a0e4c74,﻿Imports master_new.PGSqlConn,End Class,0,0,0,6,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FPartNumberCostOther.designer.vb,584,bf9eb1edbd6418a7,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FPartNumberCostOther.resx,126,f556f382999c1bee,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FPartNumberCostOther.vb,202,3d01299e135babcb,﻿Imports Devart.Data.PostgreSql,,0,0,0,4,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FRelable.designer.vb,514,e0c0ed93e9000981,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FRelable.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FRelable.vb,499,9e71d648f52ec6af,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,15,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FRelableImport.designer.vb,219,68dc584dd85451dd,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FRelableImport.resx,129,86b0d583c00fc960,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FRelableImport.vb,229,281f7abe9eb9d5eb,﻿Imports Devart.Data.PostgreSql,,0,0,0,6,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FSiteCost.designer.vb,1010,c00e0f670b0e2ecd,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FSiteCost.resx,129,2ba8fdb9b3ea14df,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Cost Management/FSiteCost.vb,640,728025a60f281453,﻿Imports Devart.Data.PostgreSql,End Class,0,0,1,5,0
Alfa Solution/Alfa.Project/Module/Financial/General Ledger/FCategoryJournal.Designer.vb,44,7eae85bbb5b1a013,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/General Ledger/FCategoryJournal.resx,123,5606230ac553c97a,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/General Ledger/FCategoryJournal.vb,7,fe8d7192894208f5,﻿Public Class FCategoryJournal,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/General Ledger/FTransactionPost.Designer.vb,667,51201ff8479d05c5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/General Ledger/FTransactionPost.resx,129,39f3e4cc215a5ea0,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/General Ledger/FTransactionPost.vb,2580,166db10ed8f653ba,﻿Imports Devart.Data.PostgreSql,End Class,0,140,7,42,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajak.designer.vb,985,5e6260b5a3885dae,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajak.resx,129,f4a1f5efea31259f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajak.vb,1561,3acf6ee3b5b23717,﻿Imports Devart.Data.PostgreSql,End Class,0,0,3,32,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakCoreTax.Designer.vb,961,5f8e81bff81dc926,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakCoreTax.resx,129,f4a1f5efea31259f,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakCoreTax.vb,2013,156777d006cdd617,﻿Imports System.Collections.Generic,End Class,0,0,4,34,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakPrint.Designer.vb,458,5ebad8ca08b57706,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakPrint.resx,126,f556f382999c1bee,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakPrint.vb,217,c8039a25eddb93fe,﻿Public Class FFakturPajakPrint,End Class,0,0,0,3,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakReport.Designer.vb,194,eff67b26f4788c29,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FFakturPajakReport.vb,162,d9a881bcf7f14668,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FInputVatReport.designer.vb,212,11d6b9b5feee7b03,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FInputVatReport.resx,123,363d169a6c143592,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/FInputVatReport.vb,113,b12c356faceccd55,﻿Imports Devart.Data.PostgreSql,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/XRFakturPajakFormPlain.designer.vb,3015,7b0a0f70c8acb06a,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/XRFakturPajakFormPlain.resx,783,f0d580a159168270,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/XRFakturPajakFormPlain.vb,251,8f4449a2b7fe47c5,,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/XRFakturPajakFormPlainIDR.designer.vb,2658,2c2998f71fb9e352,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/XRFakturPajakFormPlainIDR.resx,726,a8ae68d46d165c60,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Financial/Tax Invoice/XRFakturPajakFormPlainIDR.vb,197,13482ef15e22e962,,End Class,0,0,0,1,0
Alfa Solution/Alfa.Project/Module/Import Data/FCategoryJournalImport.designer.vb,218,c664ea86ce779250,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FCategoryJournalImport.resx,129,86b0d583c00fc960,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FCategoryJournalImport.vb,215,e8ccfabc856abc38,﻿Imports Devart.Data.PostgreSql,,0,2,0,7,0
Alfa Solution/Alfa.Project/Module/Import Data/FNoBuktiPotongARImport.designer.vb,218,c86d0da0c75e6204,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FNoBuktiPotongARImport.resx,129,86b0d583c00fc960,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FNoBuktiPotongARImport.vb,194,8350e98c8f32cbc7,﻿Imports Devart.Data.PostgreSql,,0,0,0,5,0
Alfa Solution/Alfa.Project/Module/Import Data/FPriceListQtyImport.designer.vb,205,f48d7b43701fc19c,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FPriceListQtyImport.resx,129,86b0d583c00fc960,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FPriceListQtyImport.vb,503,acdf55a24545c684,﻿Imports Devart.Data.PostgreSql,,0,0,0,10,0
Alfa Solution/Alfa.Project/Module/Import Data/FStandartTransactionImport.designer.vb,217,c800a7e1874d5703,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FStandartTransactionImport.resx,129,86b0d583c00fc960,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FStandartTransactionImport.vb,530,38fbce7bdc64d821,﻿Imports Devart.Data.PostgreSql,,0,2,0,20,0
Alfa Solution/Alfa.Project/Module/Import Data/FWorkOrderImport.designer.vb,218,d56357cff893eab5,﻿<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FWorkOrderImport.resx,129,cb1527b4b6c6ae68,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Import Data/FWorkOrderImport.vb,619,57c91829007616e6,﻿Imports Devart.Data.PostgreSql,,0,0,0,20,0
Alfa Solution/Alfa.Project/Module/Manufacture/Printout/XRWOIssuePrint.designer.vb,903,c75c68a4b4278fac,<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()> _,End Class,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Manufacture/Printout/XRWOIssuePrint.resx,588,974e4aea99197331,"<?xml version=""1.0"" encoding=""utf-8""?>",</root>,0,0,0,0,0
Alfa Solution/Alfa.Project/Module/Manufacture/Printout/XRWOIssuePrint.vb,131,959dea01841110a9,Imports master_new.ModFunction,End Class,0,0,1,4,0
